file_path,zcr,spectral_centroid,spectral_rolloff,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
birdsounds\xc121963.flac,0.14659710848973087,2634.196628822552,5046.2116014518415,-373.74158,70.04633,47.680058,50.18662,-3.9277618,34.029404,1.1230631,-0.11855962,0.93377763,-0.6790518,0.20091265,4.7372665,1.7634108,0.64358324,0.6137943,0.5745205,0.51859266,0.50068176,0.4911148,0.4747425,0.50445044,0.5304335,0.53503764,0.58291805,0.61644036
birdsounds\xc122548.flac,0.20443601502523456,3047.206910642206,5455.470992178614,-408.15988,63.656067,-4.113124,36.240047,-10.620237,6.517561,9.257152,-1.5954508,0.48645112,4.517431,0.5753428,8.693265,4.4708705,0.5193384,0.44369036,0.4175388,0.44039688,0.47801936,0.49169096,0.45492098,0.42327866,0.40384063,0.43759212,0.45044732,0.5062407
birdsounds\xc122555.flac,0.3158962121061426,3758.266468161735,5785.023177041892,-344.9469,38.2782,-13.028838,38.498188,-25.51085,8.931235,5.9105268,-5.7071395,4.735463,-2.119201,0.4980169,11.558422,-8.732875,0.48203894,0.43968195,0.5324415,0.32699108,0.27932012,0.26276812,0.2200561,0.2705791,0.38807675,0.33288386,0.2509694,0.32301044
birdsounds\xc123167.flac,0.1501151900885007,2659.8435743119658,4678.568167768105,-383.4274,48.14955,22.55387,53.656208,-13.555535,31.749395,7.4452925,8.058923,3.0115793,-6.941529,0.14053583,1.5343342,6.2534504,0.5231407,0.54502267,0.5725389,0.57588625,0.5807167,0.57511675,0.5221536,0.48321834,0.47953612,0.50369585,0.49782184,0.47067687
birdsounds\xc123168.flac,0.08190232383862373,1827.1687621581837,3409.6330401232335,-392.52756,67.086716,23.738827,50.030167,12.908797,22.010765,4.007191,-3.3333294,0.93223417,-7.2332134,-0.9303044,5.907159,8.181423,0.60223806,0.61033034,0.6355612,0.6468693,0.6040855,0.56103027,0.52698207,0.5284261,0.5361411,0.5652408,0.5782081,0.58633244
birdsounds\xc123169.flac,0.25987868230322847,3588.3399504131985,4545.207982081242,-282.72208,19.200104,-16.526417,121.48786,-32.162056,17.344772,32.660557,-0.30742094,19.061262,1.7822367,8.43111,13.385733,3.7153702,0.34153354,0.29835927,0.33578858,0.37483525,0.29703736,0.24116072,0.20057808,0.16462217,0.1633832,0.21266925,0.272003,0.33611488
birdsounds\xc123170.flac,0.24409310738076848,3478.9207133230116,4495.388775678371,-287.4603,27.548712,-15.147955,113.092224,-33.98663,10.793244,33.408287,2.8277538,20.423317,1.0744884,6.8126054,10.981359,3.7404222,0.31228104,0.30956382,0.3724009,0.36024597,0.27872422,0.26067585,0.20887074,0.18205668,0.20594312,0.2501773,0.30702722,0.3409794
birdsounds\xc123808.flac,0.23364058919933808,2853.199477512777,4757.228183022386,-331.17313,84.68119,-8.104791,65.958435,-18.634401,26.032408,5.404668,0.08074695,0.062841736,-6.0227294,-1.4372196,0.8597648,2.8970568,0.40459323,0.43115884,0.41451526,0.38438797,0.38253504,0.39084533,0.4096755,0.5041916,0.50014836,0.44087064,0.3958853,0.38070655
birdsounds\xc123810.flac,0.27562259253359594,3272.750242645581,5191.718136820117,-258.30933,45.736095,-36.56255,61.613323,-1.9445251,23.090807,-0.4889142,1.7549988,-5.582682,-3.9619222,-7.742737,0.57054126,0.8752051,0.4977729,0.49254435,0.46006072,0.44254148,0.4200418,0.3797342,0.38466156,0.42133048,0.44017464,0.43051553,0.4261521,0.44563153
birdsounds\xc124013.flac,0.10678601620802239,1518.830146911339,2299.3845287721547,-261.06473,165.58344,-16.052898,0.54273534,-19.59322,8.334811,-4.748855,-15.086299,-7.2844725,-2.2225132,-11.248944,-1.5171027,-6.7636886,0.5698071,0.6172844,0.6047425,0.607208,0.61849,0.6141151,0.5589198,0.5244104,0.52189565,0.53869754,0.537953,0.53049
birdsounds\xc124052.flac,0.22139493115859232,3013.489957854391,4286.76079396138,-276.4724,53.815643,-38.987755,101.02762,-18.83719,12.551055,16.350454,-13.039687,8.451298,6.72562,1.2227391,6.717367,3.7506344,0.52648205,0.4941629,0.37544033,0.29211023,0.3102685,0.30392858,0.3014047,0.36036012,0.4342175,0.4614055,0.5123106,0.5039113
birdsounds\xc124053.flac,0.23223683878712073,3016.8765624744397,4351.430799608618,-266.1019,62.005997,-46.834484,92.312744,-28.41224,10.140864,14.790547,-13.583495,10.381436,10.78124,0.9367058,6.4897466,0.96511966,0.5015282,0.3997401,0.33701524,0.31529626,0.3126091,0.31818625,0.34604728,0.39389604,0.43290552,0.5075386,0.5260964,0.5341631
birdsounds\xc125137.flac,0.09388771524234694,2316.986898223461,4882.10888671875,-310.07495,55.907154,29.591791,46.53202,2.039752,28.943476,14.337795,13.395533,17.718538,12.825521,9.488739,11.268278,6.850282,0.7042679,0.67312497,0.6627652,0.68779045,0.7279306,0.7121946,0.6253005,0.59806174,0.6125749,0.6436412,0.63497406,0.6628987
birdsounds\xc125486.flac,0.2491674330628034,3520.7846931429804,5979.39681266118,-428.07935,-14.587002,-73.36862,-8.94455,7.141592,36.508766,18.606884,11.4186735,-9.026533,-4.993388,2.6066005,11.616151,2.7675245,0.29675946,0.38169986,0.49289474,0.51906717,0.50699395,0.42422262,0.3251594,0.27280822,0.27567846,0.35932466,0.32924592,0.27645326
birdsounds\xc125777.flac,0.2433627244008274,3751.6673709645197,5992.793746063777,-357.33612,32.150936,21.77671,47.725304,-20.721418,27.075321,2.602839,5.012757,1.2412647,4.977751,6.86878,9.62644,7.603484,0.45067614,0.43395975,0.46480304,0.5014205,0.48710048,0.42505097,0.38446608,0.384606,0.42050183,0.4956481,0.49393293,0.46755064
birdsounds\xc125782.flac,0.20222200484704494,3283.0164640555577,5773.799206122971,-374.9529,37.219307,-5.6271267,57.574883,4.485103,10.218266,9.929248,2.239712,4.5722876,5.116469,1.4239105,11.0224,6.1406317,0.54045177,0.48951766,0.43978918,0.41976807,0.4104088,0.39457473,0.39268443,0.40954974,0.44582146,0.48650336,0.52774155,0.5371278
birdsounds\xc126481.flac,0.16132260543298074,2460.8150103620274,4274.3510191772575,-281.01578,57.973106,-97.303085,-13.084891,-40.572193,-1.8432602,-17.471296,-6.482609,-23.060156,-19.94388,-14.7872095,-5.193836,-0.45152736,0.55847347,0.5021767,0.41289005,0.3524286,0.3026175,0.32991484,0.29893556,0.28093663,0.2617103,0.25478587,0.32186115,0.4322575
birdsounds\xc127136.flac,0.2889523661587353,3669.500453517413,6277.9253585397655,-305.50278,-3.2720258,-83.808525,-25.381493,-30.98462,4.080921,-14.763487,-8.058001,-9.866622,-3.3665957,-5.3008842,-1.7294631,-9.024665,0.43425846,0.4554488,0.49309474,0.49639663,0.6479948,0.58629453,0.59775144,0.5568422,0.5548939,0.5160986,0.4776348,0.45978156
birdsounds\xc127996.flac,0.1886148607713257,3021.178140466305,5283.669958297752,-360.53577,45.1961,-17.737698,37.167583,21.63279,8.733687,-5.696661,5.253971,8.847879,3.0993035,2.6422937,7.567377,9.070031,0.4820811,0.41154027,0.39125463,0.36746156,0.34946492,0.35646155,0.34401074,0.34990036,0.34437323,0.34764916,0.3790715,0.4668466
birdsounds\xc128851.flac,0.09759393601190476,2014.892612634852,4005.17578125,-343.53293,94.84671,7.3694777,37.77794,-15.458032,2.0515406,-6.6479845,-8.535178,0.75113946,5.0250688,6.3952417,7.878217,11.99446,0.611435,0.4867092,0.4390072,0.42175528,0.42114156,0.4133727,0.37876728,0.3769212,0.37212396,0.3916886,0.46456793,0.5697935
birdsounds\xc128853.flac,0.05180590374305004,1786.6536355652133,3502.2583298686955,-378.48135,93.689064,20.886772,14.294182,2.990186,20.380934,1.5330296,15.510141,5.022299,11.854387,5.2927833,11.655782,5.5399327,0.643266,0.66237986,0.7017192,0.7642737,0.8122663,0.8236955,0.7776102,0.74533254,0.7583829,0.743497,0.6961219,0.62571937
birdsounds\xc129576.flac,0.18313930787705465,2515.2192226770626,4344.479178958657,-151.89952,71.26191,-94.31232,25.38468,-7.194621,32.879345,-12.28715,8.786573,15.790508,19.196846,1.4973836,12.437043,4.221383,0.5200372,0.37878507,0.26919487,0.22781572,0.24581723,0.30589202,0.37286234,0.4634159,0.5992658,0.6903297,0.70604795,0.6701182
birdsounds\xc129577.flac,0.19623051753746878,2671.613266041238,4491.600261500833,-112.784294,56.06682,-100.486336,17.747366,-12.062103,29.988714,-12.963356,7.8550377,16.157373,18.818295,-0.69093436,11.6822815,3.310253,0.5521683,0.3575917,0.2527001,0.20885368,0.22406827,0.27665427,0.33754587,0.43460158,0.5517442,0.6630582,0.71575373,0.6999706
birdsounds\xc130283.flac,0.11124605439753446,1773.179636040994,3004.7452762801977,-452.84644,129.78012,-48.07633,-3.2175395,-6.878139,10.011975,-0.5929845,4.0753355,-9.768278,-1.2789203,-8.357595,-4.6297507,-3.575999,0.48398748,0.46058476,0.43271208,0.39102462,0.43383002,0.45561418,0.4459955,0.48454174,0.52532077,0.4912182,0.46966162,0.47196665
birdsounds\xc130409.flac,0.4111513783269962,4623.667958474873,7446.352004223869,-466.48395,13.4193945,-5.0067353,13.633233,-27.655281,14.066278,-18.766352,5.9771748,-15.083358,3.1824558,-15.053526,1.5580502,-12.617731,0.6423678,0.5984693,0.596953,0.5597758,0.5600453,0.5738505,0.5786235,0.59002686,0.60139495,0.6128034,0.618485,0.6140627
